,author,title
0,kim stanley robinson,2312
0,vernor vinge,a fire upon the deep
0,ann leckie,ancillary justice
0,frank herbert,children of dune
0,iain m banks,consider phlebas
0,neal stephenson,diamond age
0,philip k dick,do androids dream of electric sheep
0,frank herbert,dune
0,china mieville,embassytown
0,orson scott card,enders game
0,corey james,leviathan wakes
0,gibson william,neuromancer
0,vernor vinge,rainbows end
0,neal stephenson,seveneves
0,neal stephenson,snow crash
0,iain m banks,the algebraist
0,joe haldeman,the forever war
0,ursula leguin,the left hand of darkness
0,heinlein robert,the moon is a harsh mistress
0,paolo bacigalupi,the windup girl
0,dean foster,a sum of her parts
0,travis tea,atlanta nights
0,stephanie saulter,binary
0,cristopher stasheff,escape velocity
0,philip palmer,hell ship
0,james dunn,iastron
0,philip palmer,into the fire
0,vincent tibbetts,red planet pioneer
0,rajan khanna,rising tide
0,adam sternbergh,shovel ready
0,andreas ingo,star diary
0,harry harrison,star smashers
0,cm lanning,starlight taxi
0,chris randolf,stars rain down
0,karen lord,the best of all possible worlds
0,brenda cooper,the diamond deep
0,steven harper,the impossible cube
0,ej gilmour,the outer worlds
0,keric hill,wild red yonder
0,robyn carr,a new hope
0,nicolas sparks,a walk to remember
0,sylia day,bared to you
0,jamie mcguire,beautiful disaster
0,maisey yates,brokedown cowboy
0,molly okeefe,cant buy me love
0,e l james,fifty shades of grey
0,delilah marvelle,forever and a day
0,e l james,grey
0,debbie macomber,love letters
0,erich segal,love story
0,robyn carr,one wish
0,diana gabaldon,outlander
0,diana galbaldon,outlander voyager
0,nora roberts,stars of fortune
0,nicolas sparks,the notebook
0,graeme simsion,the rosie project
0,katee robert,the wedding pact
0,laura london,a heart too proud
0,meg moseley,a stillness of chimes
0,amelia betts,addicted
0,lynnette austin,cant stop lovin you
0,jl merrow,good breeding
0,brenda cooper,harder
0,megan erickson,make it last
0,bethan cooper,never say goodbye
0,christine hughes,operation one night stand
0,carla cassidy-,pregnesia
0,codi gary,return of the bad girl
0,clementine elin,rex
0,monica murphy,second chance boyfriend
0,carole matthews,summer daydreams
0,cassie edwards,temptation
0,pamela burford,the boss runaway bride
0,mark holzclaw,the edge of eternity
0,rg richards,the flame
0,cf sheeler,the last dance
0,emma king,the lies we tell
0,james corey,caliban war
0,frank herbert,dune messiah
0,kim stanley robinson,red mars
0,andy weir,the martian
0,armand vespertine,cosmic exile
0,bruno goncalves,descent into mayhem
0,adam moon,zero
0,nicholas sparks,see me
0,chastity foelds,jess and the love test
0,geoff lynch,lisa and her beaver
